+--------+--------------------------------------------------------------------------------------+---------+----------------------------------------------------------------------------------+
|Album_ID|Album_Name                                                                            |Artist_ID|Album_Cover                                                                       |
|154     |Wet Leg                                                                               |67       |https://lastfm.freetls.fastly.net/i/u/300x300/14e7090ffabb2ecd5e9bf8c8f5a108b9.jpg|
|155     |Melodrama                                                                             |68       |https://lastfm.freetls.fastly.net/i/u/300x300/fdef4c7536c03d0a5a6689e4b1fa9b42.jpg|
|156     |Paramore                                                                              |69       |https://lastfm.freetls.fastly.net/i/u/300x300/bebe11f4ddf3dee473b26c7e2d5c9ff6.png|
|157     |the masquerade (IV)                                                                   |70       |https://lastfm.freetls.fastly.net/i/u/300x300/86b616a3cb87e0bb88c88fecade357ba.jpg|
|158     |Immunity                                                                              |71       |https://lastfm.freetls.fastly.net/i/u/300x300/73e6abff1b50d7d05a6d02857240263c.jpg|
|159     |Immunity [Explicit]                                                                   |71       |https://lastfm.freetls.fastly.net/i/u/300x300/73e6abff1b50d7d05a6d02857240263c.jpg|
|160     |1950                                                                                  |72       |https://lastfm.freetls.fastly.net/i/u/300x300/b72c62600103a570a47fa446289650b1.jpg|
|161     |Every Where Is Some Where                                                             |73       |https://lastfm.freetls.fastly.net/i/u/300x300/fef8029419def9662c7e977cd474e9b5.jpg|
|162     |Love Monster                                                                          |74       |https://lastfm.freetls.fastly.net/i/u/300x300/8943cecaa7e2ebe1cc77b3b42827a2d5.jpg|
|163     |Eyelid Movies                                                                         |75       |https://lastfm.freetls.fastly.net/i/u/300x300/752618f76e5c3e5bc09a5e7acf5f4ac2.jpg|
|164     |Ceremony                                                                              |75       |https://lastfm.freetls.fastly.net/i/u/300x300/89a7bdb8a1a88eff53b2561bcdf834d2.jpg|
|165     |Dream                                                                                 |76       |https://lastfm.freetls.fastly.net/i/u/300x300/fef938ca23ed832d56d7809b61a130ec.jpg|
|166     |I Know Alone                                                                          |77       |https://lastfm.freetls.fastly.net/i/u/300x300/6385f1b3fef00f856a4e7c63336599ad.jpg|
|167     |Simmer                                                                                |78       |https://lastfm.freetls.fastly.net/i/u/300x300/f1d2cf09c675c9b5f4c9698920403b12.jpg|
|168     |Seventeen                                                                             |79       |https://lastfm.freetls.fastly.net/i/u/300x300/d450aebd30fc5a0e29f2d84b9f55a4c4.jpg|
|169     |Miracle                                                                               |80       |https://lastfm.freetls.fastly.net/i/u/300x300/410fd34ba550934cfdc3ff1ca7a004dd.jpg|
|170     |Hallucinations - Single                                                               |81       |https://lastfm.freetls.fastly.net/i/u/300x300/8bce4b7522e59dd22d6d7c19ad07b5e6.png|
|171     |Monday                                                                                |82       |https://lastfm.freetls.fastly.net/i/u/300x300/589c89e808f023d1abb51113ab8d99b2.jpg|
|172     |Learn To Live - Single                                                                |83       |https://lastfm.freetls.fastly.net/i/u/300x300/d8ba54ec14282dce1392912c9cfb1d8b.jpg|
|173     |Smile                                                                                 |84       |https://lastfm.freetls.fastly.net/i/u/300x300/2d891d8f816ed3819580eca2d7210407.jpg|
|174     |Terra Firma                                                                           |85       |https://lastfm.freetls.fastly.net/i/u/300x300/b15ed3095e2ddb6a1c08064379ab6b60.png|
|175     |Flow State                                                                            |85       |https://lastfm.freetls.fastly.net/i/u/300x300/b3e14bb599460ccb6e719ae526159c22.jpg|
|176     |please put me in a medically induced coma                                             |86       |https://lastfm.freetls.fastly.net/i/u/300x300/04c212c3da4285b7397b7c68766e2591.png|
|177     |Fall to Pieces - Single                                                               |87       |https://lastfm.freetls.fastly.net/i/u/300x300/53bd96866604c52ea6edacb00b777267.jpg|
|178     |decide to be happy                                                                    |88       |https://lastfm.freetls.fastly.net/i/u/300x300/c2615cea62855d171c446674b28b54aa.jpg|
